,Title,Author,My Rating,Average Rating,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelf
256,Muhteşem Gatsby,F. Scott Fitzgerald,4,3.93,184.0,2015.0,1925.0,,2021/03/28,read
257,"Tüfek, Mikrop ve Çelik",Jared Diamond,0,4.04,662.0,2002.0,1997.0,,2021/04/03,to-read
258,Savaş Sanatı,Sun Tzu,0,3.95,61.0,2014.0,-400.0,,2021/04/03,to-read
259,Napoleon: A Life,Andrew Roberts,0,4.24,976.0,2014.0,2014.0,,2021/04/02,to-read
260,Cicero: The Life and Times of Rome's Greatest Politician,Anthony Everitt,0,3.89,364.0,2003.0,2001.0,,2021/04/02,to-read
261,The Canterbury Tales,Geoffrey Chaucer,0,3.52,504.0,2003.0,1400.0,,2021/04/01,to-read
262,Cesur Yeni Dünya,Aldous Huxley,0,3.99,266.0,2015.0,1932.0,,2021/03/31,to-read
263,Frankenstein: The 1818 Text,Mary Wollstonecraft Shelley,0,3.88,260.0,2018.0,1818.0,,2021/03/31,to-read
264,The Unbearable Lightness of Being,Milan Kundera,0,4.11,314.0,2009.0,1984.0,,2020/04/23,bu-neymiş-ki
265,Sineklerin Tanrısı,William Golding,4,3.7,272.0,2008.0,1954.0,2021/03/29,2020/03/28,read
266,Ermiş,Kahlil Gibran,0,4.23,54.0,2014.0,1923.0,,2021/03/25,to-read
267,Beyaz Gemi,Chingiz Aitmatov,0,4.12,168.0,1995.0,1970.0,,2021/03/25,to-read
268,Tanrıların Arabaları,Erich von Däniken,0,3.53,160.0,1999.0,1968.0,,2021/02/19,to-read
269,Bir Delinin Hatıra Defteri - Palto - Burun,Nikolai Gogol,4,4.15,223.0,,1835.0,2021/02/07,2021/01/27,read
270,Alan Turing: Unlocking the Enigma,David Boyle,4,3.61,112.0,2014.0,2014.0,2021/01/01,2021/01/27,read
